Country,TotalConfirmed,TotalDeaths,TotalRecovered,DeathRate
Afghanistan,234174,7996,211080,3.4099999999999997
Albania,334863,3605,330233,1.08
Algeria,272010,6881,183061,2.53
Andorra,48015,165,0,0.33999999999999997
Angola,107327,1937,103419,1.7999999999999998
Anguilla,3904,12,0,0.31
Antigua and Barbuda,9106,146,8954,1.6
Argentina,10128845,130841,9997258,1.29
Armenia,451831,8777,435162,1.94
Aruba,44224,292,42438,0.66
Australia,11853144,24414,11820014,0.21
Austria,6081287,22542,6054934,0.37
Azerbaijan,835234,10400,824089,1.25
Bahamas,38084,844,36366,2.22
Bahrain,729549,1574,727915,0.22
Bangladesh,2049377,29493,0,1.44
Barbados,110578,648,108647,0.59
Belarus,994037,7118,985592,0.72
Belgium,4861695,34376,4826798,0.7100000000000001
Belize,71409,688,0,0.96
Benin,28036,163,27847,0.58
Bermuda,18860,165,18685,0.8699999999999999
Bhutan,62697,21,61564,0.03
Bolivia,1212131,22407,1177145,1.8499999999999999
Bosnia,403615,16388,379084,4.06
Botswana,330638,2801,327049,0.8500000000000001
Brazil,38743918,711380,36249161,1.8399999999999999
British Virgin Islands,7392,64,0,0.8699999999999999
Brunei,343719,225,243601,0.06999999999999999
Bulgaria,1339851,38748,1292944,2.8899999999999997
Burkina Faso,22114,400,21596,1.81
Burundi,54721,38,53569,0.06999999999999999
Cabo Verde,64477,417,63755,0.65
Cambodia,139103,3056,136044,2.1999999999999997
Cameroon,125379,1974,123280,1.5699999999999998
Canada,4946090,59034,4881312,1.1900000000000002
Caribbean Netherlands,11682,38,10476,0.33
Cayman Islands,31472,37,8553,0.12
Central African Republic,15440,113,15200,0.73
Chad,7701,194,4874,2.52
Channel Islands,101717,228,101321,0.22
Chile,5384853,64497,5252450,1.2
China,503302,5272,379053,1.05
Colombia,6400173,143200,6212152,2.2399999999999998
Comoros,9109,161,8939,1.77
Congo,25375,386,24006,1.52
Cook Islands,7203,2,7150,0.03
Costa Rica,1238883,9428,0,0.76
Croatia,1309728,18687,1258432,1.43
Cuba,1115251,8530,1106660,0.76
Curaçao,45986,295,44720,0.64
Cyprus,681110,1365,679745,0.2
Czechia,4759041,43517,4715206,0.91
Côte d'Ivoire,88384,835,87497,0.9400000000000001
DRC,99338,1468,84489,1.48
Denmark,3183756,8814,3174942,0.27999999999999997
Djibouti,15690,189,15427,1.2
Dominica,16038,74,15964,0.45999999999999996
Dominican Republic,675890,4384,671316,0.65
Ecuador,1070188,36043,1034145,3.37
Egypt,516023,24613,442182,4.77
El Salvador,201855,4230,179410,2.1
Equatorial Guinea,17229,183,16907,1.06
Eritrea,10189,103,10086,1.01
Estonia,628070,3001,0,0.48
Ethiopia,501157,7574,488171,1.51
Falkland Islands (Malvinas),1930,0,1930,0.0
Faroe Islands,34658,28,0,0.08
Fiji,69117,885,67226,1.28
Finland,1516117,11958,1503989,0.79
France,40138560,167642,39970918,0.42
French Guiana,98041,420,11254,0.43
French Polynesia,79254,650,0,0.8200000000000001
Gabon,49051,307,48674,0.63
Gambia,12626,372,12189,2.9499999999999997
Georgia,1861665,17132,0,0.9199999999999999
Germany,38828995,183027,38240600,0.47000000000000003
Ghana,171889,1462,170425,0.8500000000000001
Gibraltar,20550,113,0,0.5499999999999999
Greece,6101379,37869,0,0.62
Greenland,11971,21,2761,0.18
Grenada,19693,238,19358,1.21
Guadeloupe,203235,1021,0,0.5
Guatemala,1291293,20289,1269891,1.5699999999999998
Guinea,38572,468,37757,1.21
Guinea-Bissau,9614,177,8929,1.8399999999999999
Guyana,74137,1300,72013,1.7500000000000002
Haiti,34667,860,33734,2.48
